Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Police Precinct
58715515,09/04/2023 09:39:00 PM,09/05/2023 04:35:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Dayburning,,10027,,,,,MANHATTAN AVENUE,WEST 122 STREET,INTERSECTION,MANHATTAN,,,Closed,,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",09/05/2023 04:35:00 PM,10 MANHATTAN,,MANHATTAN,996975,233966,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.808849297129754,-73.95403284427447,"(40.808849297129754, -73.95403284427447)",12424,18,4,36,18,18
58720105,09/05/2023 10:44:00 PM,09/06/2023 05:22:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10003,,,,,3 AVENUE,EAST 17 STREET,INTERSECTION,MANHATTAN,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/06/2023 05:22:00 PM,06 MANHATTAN,,MANHATTAN,988187,207130,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73519977943859,-73.98579389769463,"(40.73519977943859, -73.98579389769463)",11724,71,4,50,7,7
58720651,09/05/2023 01:09:54 PM,09/25/2023 10:48:57 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10040,460 AUDUBON AVENUE,AUDUBON AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/25/2023 12:00:00 AM,12 MANHATTAN,1021580054,MANHATTAN,1003878,250148,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85325158836842,-73.92904945369692,"(40.85325158836842, -73.92904945369692)",13098,47,4,39,22,22
58718832,09/05/2023 05:57:03 PM,09/05/2023 06:17:26 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11224,2002 NEPTUNE AVENUE,NEPTUNE AVENUE,WEST   20 STREET,WEST   21 STREET,WEST   20 STREET,WEST   21 STREET,ADDRESS,BROOKLYN,NEPTUNE AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/05/2023 06:17:32 PM,13 BROOKLYN,3070180009,BROOKLYN,987719,150103,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.578673415369,-73.98751194440837,"(40.578673415369, -73.98751194440837)",18184,21,2,45,35,35
58713699,09/04/2023 10:15:34 PM,09/04/2023 10:32:32 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,601 WEST  164 STREET,WEST  164 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  164 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2023 10:32:35 PM,12 MANHATTAN,1021370145,MANHATTAN,1000289,244801,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.838582897567655,-73.94203561960319,"(40.838582897567655, -73.94203561960319)",13090,47,4,23,21,21
58714004,09/04/2023 06:27:54 PM,10/30/2023 12:15:36 PM,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11379,75-29 PENELOPE AVENUE,PENELOPE AVENUE,75 PLACE,76 STREET,75 PLACE,76 STREET,ADDRESS,MIDDLE VILLAGE,PENELOPE AVENUE,,Closed,,NYC Parks inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons:  - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.,10/30/2023 12:15:40 PM,05 QUEENS,4029850046,QUEENS,1017665,200597,ONLINE,Unspecified,QUEENS,,,,,,,,40.71720605518679,-73.87945925800099,"(40.71720605518679, -73.87945925800099)",15309,54,3,34,62,62
58718152,09/05/2023 11:25:19 AM,09/28/2023 08:41:37 AM,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11369,24-02 98 STREET,98 STREET,24 AVENUE,25 AVENUE,24 AVENUE,25 AVENUE,ADDRESS,EAST ELMHURST,98 STREET,,Closed,,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",09/28/2023 08:41:41 AM,03 QUEENS,4011080007,QUEENS,1019682,218493,ONLINE,Unspecified,QUEENS,,,,,,,,40.766318215266466,-73.87208890582546,"(40.766318215266466, -73.87208890582546)",14511,65,3,21,73,73
58713940,09/04/2023 09:49:33 PM,09/04/2023 10:09:11 PM,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10037,56 EAST  131 STREET,EAST  131 STREET,MADISON AVENUE,PARK AVENUE,MADISON AVENUE,PARK AVENUE,ADDRESS,NEW YORK,EAST  131 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2023 10:09:14 PM,11 MANHATTAN,1017550047,MANHATTAN,1001578,234140,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.80931904997407,-73.93740475226979,"(40.80931904997407, -73.93740475226979)",13095,7,4,36,16,16
58714830,09/04/2023 11:37:28 AM,09/09/2023 06:13:32 PM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10039,700 ESPLANADE GDNS PLAZA,ESPLANADE GDNS PLAZA,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/09/2023 12:00:00 AM,10 MANHATTAN,1017440001,MANHATTAN,1001924,238226,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.820533288941945,-73.93614411094367,"(40.820533288941945, -73.93614411094367)",13097,18,4,36,20,20
58714206,09/04/2023 09:54:57 AM,09/09/2023 08:34:12 PM,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10019,1700 BROADWAY,BROADWAY,7 AVENUE,BROADWAY,7 AVENUE,BROADWAY,ADDRESS,NEW YORK,BROADWAY,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,09/09/2023 08:34:18 PM,05 MANHATTAN,1010250025,MANHATTAN,989126,217383,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.763341211670465,-73.98239821629177,"(40.763341211670465, -73.98239821629177)",12081,11,4,51,10,10
58717969,09/05/2023 01:24:16 PM,09/06/2023 05:16:38 PM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10458,2501 HOFFMAN STREET,HOFFMAN STREET,,,,,ADDRESS,BRONX,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/06/2023 12:00:00 AM,06 BRONX,2030670024,BRONX,1015664,252010,PHONE,Unspecified,BRONX,,,,,,,,40.858328149845164,-73.8864371830908,"(40.858328149845164, -73.8864371830908)",10936,35,5,22,31,31
58716736,09/04/2023 02:14:45 AM,09/04/2023 02:26:07 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11225,403 EMPIRE BOULEVARD,EMPIRE BOULEVARD,CLOVE ROAD,NEW YORK AVENUE,CLOVE ROAD,NEW YORK AVENUE,ADDRESS,BROOKLYN,EMPIRE BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2023 02:26:11 AM,09 BROOKLYN,3013090125,BROOKLYN,998458,181212,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66405040332537,-73.9487871426282,"(40.66405040332537, -73.9487871426282)",13509,17,2,48,44,44
58711571,09/04/2023 06:03:23 PM,09/04/2023 08:28:43 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,460 CYRUS PLACE,CYRUS PLACE,PARK AVENUE,3 AVENUE,PARK AVENUE,3 AVENUE,ADDRESS,BRONX,CYRUS PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2023 08:28:46 PM,06 BRONX,2030410016,BRONX,1014323,252051,ONLINE,Unspecified,BRONX,,,,,,,,40.85844535227457,-73.89128476057375,"(40.85844535227457, -73.89128476057375)",10936,35,5,22,31,31
58712723,09/04/2023 03:46:08 AM,09/04/2023 04:06:18 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11203,CHURCH AVENUE,CHURCH AVENUE,CHURCH AVENUE,EAST   52 STREET,CHURCH AVENUE,EAST   52 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2023 04:06:21 AM,17 BROOKLYN,,BROOKLYN,1004097,176890,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.65217662197575,-73.92847404720422,"(40.65217662197575, -73.92847404720422)",16866,61,2,17,40,40
58714436,09/04/2023 07:41:39 PM,09/04/2023 07:53:18 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11206,261 MOORE STREET,MOORE STREET,WHITE STREET,BOGART STREET,WHITE STREET,BOGART STREET,ADDRESS,BROOKLYN,MOORE STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/04/2023 07:53:21 PM,01 BROOKLYN,3031010010,BROOKLYN,1002545,196070,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7048247072312,-73.93401517892303,"(40.7048247072312, -73.93401517892303)",17213,36,2,30,56,56
58719106,09/05/2023 02:12:46 PM,09/05/2023 03:09:49 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,80 WOODRUFF AVENUE,WOODRUFF AVENUE,ST PAULS PLACE,OCEAN AVENUE,ST PAULS PLACE,OCEAN AVENUE,ADDRESS,BROOKLYN,WOODRUFF AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/05/2023 03:09:52 PM,14 BROOKLYN,3050590016,BROOKLYN,994457,177362,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.653488517173436,-73.9632146069062,"(40.653488517173436, -73.9632146069062)",13510,60,2,11,43,43
58713740,09/04/2023 05:57:44 PM,09/04/2023 06:18:48 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10024,BROADWAY,BROADWAY,BROADWAY,WEST   82 STREET,BROADWAY,WEST   82 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/04/2023 06:18:52 PM,07 MANHATTAN,,MANHATTAN,990194,225561,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78578702266814,-73.97853562883556,"(40.78578702266814, -73.97853562883556)",12421,20,4,19,12,12
58717053,09/04/2023 10:15:38 AM,09/05/2023 04:18:06 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10475,100 BENCHLEY PLACE,BENCHLEY PLACE,BEND,BEND,BEND,BEND,ADDRESS,BRONX,BENCHLEY PLACE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/05/2023 04:18:13 AM,10 BRONX,2051410120,BRONX,1032465,257939,PHONE,Unspecified,BRONX,,,,,,,,40.874525651947415,-73.82565839662881,"(40.874525651947415, -73.82565839662881)",12344,43,5,2,28,28
58715137,09/04/2023 06:22:32 PM,09/27/2023 08:00:29 AM,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/26/2023 10:42:52 AM,Unspecified MANHATTAN,,MANHATTAN,995766,219373,MOBILE,Unspecified,MANHATTAN,,,,Q,,,Mezzanine,40.76879709047681,-73.95842519416915,"(40.76879709047681, -73.95842519416915)",12083,23,4,51,11,11
58716267,09/04/2023 11:05:00 AM,09/06/2023 06:01:00 AM,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10462,1610 MATTHEWS AVENUE,MATTHEWS AVENUE,DEAD END,VAN NEST AVE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,09/06/2023 06:01:00 AM,11 BRONX,2040420350,BRONX,1022687,246964,ONLINE,Unspecified,BRONX,,,,,,,,40.84445061038331,-73.86107773648337,"(40.84445061038331, -73.86107773648337)",11271,59,5,12,32,32
58720948,09/05/2023 05:57:15 PM,09/08/2023 10:11:43 AM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Street,11228,8001 15 AVENUE,15 AVENUE,80 STREET,81 STREET,80 STREET,81 STREET,ADDRESS,BROOKLYN,15 AVENUE,,Closed,,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",09/08/2023 10:11:47 AM,11 BROOKLYN,3062820008,BROOKLYN,982568,163234,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6147158797979,-74.00605830229522,"(40.6147158797979, -74.00605830229522)",13511,1,2,44,37,37
58712405,09/04/2023 11:51:59 AM,09/04/2023 12:21:27 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11226,97 CROOKE AVENUE,CROOKE AVENUE,ST PAULS PLACE,BRIGHTON LINE,ST PAULS PLACE,BRIGHTON LINE,ADDRESS,BROOKLYN,CROOKE AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,09/04/2023 12:21:31 PM,14 BROOKLYN,3050590051,BROOKLYN,994621,177104,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65278017295231,-73.96262395791314,"(40.65278017295231, -73.96262395791314)",13510,60,2,11,43,43
58711791,09/04/2023 11:39:43 PM,09/05/2023 01:31:07 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11208,CLEVELAND STREET,CLEVELAND STREET,CLEVELAND STREET,FULTON STREET,CLEVELAND STREET,FULTON STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/05/2023 01:31:10 AM,05 BROOKLYN,,BROOKLYN,1015993,186914,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67965559988202,-73.885555285273,"(40.67965559988202, -73.885555285273)",17215,45,2,37,47,47
58714392,09/04/2023 09:36:23 AM,09/04/2023 11:21:08 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10466,4188 BARNES AVENUE,BARNES AVENUE,EAST  232 STREET,EAST  233 STREET,EAST  232 STREET,EAST  233 STREET,ADDRESS,BRONX,BARNES AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/04/2023 11:21:13 AM,12 BRONX,2048570082,BRONX,1024441,264366,ONLINE,Unspecified,BRONX,,,,,,,,40.89220592066447,-73.85463391801748,"(40.89220592066447, -73.85463391801748)",11275,29,5,2,30,30
58716647,09/04/2023 02:44:36 AM,09/04/2023 03:31:10 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11427,209-19 WHITEHALL TERRACE,WHITEHALL TERRACE,209 STREET,DEAD END,209 STREET,DEAD END,ADDRESS,QUEENS VILLAGE,WHITEHALL TERRACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2023 03:31:13 AM,08 QUEENS,4105920118,QUEENS,1051487,203000,ONLINE,Unspecified,QUEENS,,,,,,,,40.7236092891983,-73.7574267726922,"(40.7236092891983, -73.7574267726922)",24336,25,3,16,65,65
58717156,09/04/2023 06:31:43 PM,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10075,435 EAST   77 STREET,EAST   77 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,EAST   77 STREET,,Closed,,The mobile outreach response team went to the location provided but could not find the individual that you reported.,09/04/2023 10:52:53 PM,08 MANHATTAN,1014720014,MANHATTAN,997335,220052,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.770658585337344,-73.9527595044945,"(40.770658585337344, -73.9527595044945)",10092,23,4,1,11,11
58718927,09/05/2023 08:57:24 PM,09/05/2023 09:04:10 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10014,140 7 AVENUE SOUTH,7 AVENUE SOUTH,WEST   10 STREET,CHARLES STREET,WEST   10 STREET,CHARLES STREET,ADDRESS,NEW YORK,7 AVENUE SOUTH,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/05/2023 09:04:15 PM,02 MANHATTAN,1006110014,MANHATTAN,983647,206960,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73473402702779,-74.00217582417487,"(40.73473402702779, -74.00217582417487)",12077,57,4,10,3,3
58720095,09/05/2023 07:02:00 PM,09/06/2023 01:00:00 PM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10036,484 WEST   43 STREET,WEST   43 STREET,9 AVE,10 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and found that no asbestos was disturbed.,09/06/2023 01:00:00 PM,04 MANHATTAN,1010520001,MANHATTAN,985697,216240,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.760205196654375,-73.99477674698709,"(40.760205196654375, -73.99477674698709)",13094,12,4,10,6,6
58716880,09/04/2023 01:30:09 PM,09/07/2023 09:19:41 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10032,539 WEST  162 STREET,WEST  162 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/07/2023 12:00:00 AM,12 MANHATTAN,1021220018,MANHATTAN,1000571,244054,PHONE,Unspecified,MANHATTAN,,,,,,,,40.836532082987944,-73.9410182995914,"(40.836532082987944, -73.9410182995914)",13090,47,4,23,21,21
58719311,09/05/2023 06:56:37 PM,09/18/2023 12:22:48 PM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,125 EAST   19 STREET,EAST   19 STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/18/2023 12:00:00 AM,14 BROOKLYN,3051230068,BROOKLYN,994930,174760,PHONE,Unspecified,BROOKLYN,,,,,,,,40.646346034881695,-73.96151406453338,"(40.646346034881695, -73.96151406453338)",13510,60,2,11,43,43
58711556,09/04/2023 02:39:36 AM,09/04/2023 02:53:21 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Park/Playground,11377,39 AVENUE,39 AVENUE,39 AVENUE,61 STREET,39 AVENUE,61 STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/04/2023 02:53:24 AM,02 QUEENS,,QUEENS,1011217,211513,PHONE,Unspecified,QUEENS,,,,,,,,40.74718978144399,-73.90267589892333,"(40.74718978144399, -73.90267589892333)",14787,53,3,33,66,66
